WavwNum_Jarosite,value_Jarosite
100.0,0.0
125.9404,0.0
126.4225,0.241959
126.9046,0.030594001
127.3867,2.615494
127.8688,7.207169
128.3509,13.51413
128.8331,20.62093
129.3152,27.17717
129.7973,33.47675
130.2794,41.0932
130.7615,50.48587
131.2436,61.68584
131.7258,74.47409
132.2079,88.55022
132.69,105.0292
133.1721,125.0825
133.6542,148.612
134.1364,176.9275
134.6185,211.1457
135.1006,251.3345
135.5827,296.5514
136.0648,348.8044
136.5469,404.3189
137.0291,459.1112
137.5112,516.8618
137.9933,557.0194
138.4754,565.9843
138.9575,541.6017
139.4396,496.6066
139.9218,426.0534
140.4039,336.3611
140.886,259.1188
141.3681,195.5871
141.8502,143.3275
142.3323,103.0304
142.8145,76.41028
143.2966,54.81537
143.7787,38.39621
144.2608,26.98813
144.7429,18.66228
145.225,14.62041
145.7072,13.56718
146.1893,12.24411
146.6714,9.005692
147.1535,6.677536
147.6356,6.401154
148.1178,8.091888
148.5999,9.830505
149.082,11.71579
149.5641,12.78391
150.0462,13.74277
150.5283,15.7243
151.0105,18.15092
151.4926,17.80756
151.9747,16.49448
152.4568,15.90094
152.9389,17.1239
153.421,18.82492
153.9032,19.13574
154.3853,17.05115
154.8674,14.33229
155.3495,11.35344
155.8316,7.575058
156.3137,4.791504
156.7959,3.973511
157.278,4.257507
157.7601,4.02626
158.2422,1.847702
158.7243,0.142365
159.2065,0.839279
159.6886,0.697815
160.1707,2.135513
160.6528,2.661026
161.1349,2.562973
161.617,2.604828
162.0992,3.387207
162.5813,4.21138
163.0634,4.648926
163.5455,4.809006
164.0276,4.296906
164.5097,2.242966
164.9919,0.860031
165.474,3.099747
165.9561,2.967239
166.4382,1.826416
166.9203,0.889786
167.4024,0.433243
167.8846,0.333908
168.3667,0.690384
168.8488,1.42807
169.3309,2.069702
169.813,2.051208
170.2952,1.850037
170.7773,2.074341
171.2594,3.694794
171.7415,5.2444
172.2236,5.256714
172.7057,3.824905
173.1879,2.275391
173.67,1.399521
174.1521,1.091339
174.6342,1.162918
175.1163,2.40155
175.5984,3.570679
176.0806,2.966232
176.5627,0.584595
177.0448,2.197723
177.5269,4.233429
178.009,5.73143
178.4911,7.254059
178.9733,9.346893
179.4554,11.50096
179.9375,12.5878
180.4196,12.45862
180.9017,12.57329
181.3838,14.76505
181.866,18.56149
182.3481,22.37685
182.8302,25.4801
183.3123,28.06857
183.7944,30.41023
184.2766,32.43294
184.7587,34.74886
185.2408,38.09419
185.7229,42.36983
186.205,47.21591
186.6871,52.69493
187.1693,58.66696
187.6514,64.10051
188.1335,68.84552
188.6156,73.66812
189.0977,80.091
189.5798,88.00075
190.062,95.7386
190.5441,102.356
191.0262,108.0314
191.5083,113.8611
191.9904,119.9424
192.4725,126.3246
192.9547,132.9892
193.4368,139.9803
193.9189,147.6519
194.401,156.5452
194.8831,166.6324
195.3652,176.0071
195.8474,184.0548
196.3295,192.1425
196.8116,202.9276
197.2937,216.4737
197.7758,232.1248
198.2579,249.1028
198.7401,267.3123
199.2222,288.049
199.7043,310.9778
200.1864,336.4273
200.6685,365.8265
201.1507,399.3985
201.6328,435.5405
202.1149,473.7852
202.597,514.335
203.0791,555.248
203.5612,595.842
204.0434,636.3592
204.5255,677.7234
205.0076,720.5763
205.4897,762.2758
205.9718,801.2274
206.4539,837.2955
206.9361,871.8347
207.4182,905.8659
207.9003,938.0087
208.3824,963.7732
208.8645,981.0925
209.3466,997.6365
209.8288,1018.128
210.3109,1043.042
210.793,1069.57
211.2751,1096.776
211.7572,1125.494
212.2393,1159.895
212.7215,1199.792
213.2036,1244.888
213.6857,1294.931
214.1678,1350.177
214.6499,1410.075
215.132,1474.962
215.6142,1544.995
216.0963,1620.01
216.5784,1701.525
217.0605,1784.291
217.5426,1866.11
218.0247,1947.814
218.5069,2024.24
218.989,2098.463
219.4711,2167.148
219.9532,2217.108
220.4353,2251.25
220.9175,2262.909
221.3996,2248.385
221.8817,2207.988
222.3638,2140.331
222.8459,2041.439
223.328,1913.878
223.8102,1778.395
224.2923,1629.265
224.7744,1477.626
225.2565,1329.782
225.7386,1181.997
226.2207,1047.627
226.7029,929.6503
227.185,826.2167
227.6671,733.7621
228.1492,653.4585
228.6313,582.4224
229.1134,519.3257
229.5956,464.2846
230.0777,415.9225
230.5598,374.6413
231.0419,339.9486
231.524,308.541
232.0062,280.7737
232.4883,255.6886
232.9704,232.6908
233.4525,211.8769
233.9346,193.1856
234.4167,177.1631
234.8989,163.4575
235.381,150.5562
235.8631,138.0567
236.3452,126.6703
236.8273,116.7443
237.3094,108.7723
237.7916,101.1971
238.2737,93.76115
238.7558,86.61409
239.2379,80.28867
239.72,75.03958
240.2021,70.25667
240.6843,65.58348
241.1664,60.99557
241.6485,56.56744
242.1306,52.28925
242.6127,48.15831
243.0948,44.32774
243.577,40.89679
244.0591,37.62248
244.5412,34.41505
245.0233,31.21722
245.5054,28.18819
245.9876,25.40482
246.4697,22.79675
246.9518,19.98906
247.4339,16.63741
247.916,13.58693
248.3981,11.30565
248.8803,10.05283
249.3624,8.945496
249.8445,8.177826
250.3266,7.487579
250.8087,6.017731
251.2908,3.0914
251.773,0.48999
252.2551,0.884079
252.7372,0.514343
253.2193,0.224487
253.7014,0.187637
254.1835,0.430542
254.6657,0.324036
255.1478,2.785995
255.6299,5.002823
256.112,6.170456
256.5941,6.039246
257.0763,5.545364
257.5584,4.373871
258.0405,3.028259
258.5226,2.557327
259.0047,3.199036
259.4868,4.223022
259.969,5.602615
260.4511,7.705017
260.9332,8.386108
261.4153,7.177216
261.8974,4.96553
262.3795,3.260071
262.8617,2.219864
263.3438,1.25885
263.8259,0.107346
264.308,1.309586
264.7901,2.205505
265.2722,2.176727
265.7544,2.102692
266.2365,3.399139
266.7186,6.509583
267.2007,9.637695
267.6828,12.41202
268.1649,14.90906
268.6471,16.01747
269.1292,15.24687
269.6113,13.89754
270.0934,13.53749
270.5755,14.28703
271.0576,15.55202
271.5398,17.12787
272.0219,19.0388
272.504,21.78345
272.9861,25.57219
273.4682,29.65848
273.9503,33.22777
274.4325,36.13359
274.9146,39.20724
275.3967,42.49086
275.8788,46.08203
276.361,50.52188
276.8431,55.7617
277.3252,61.84853
277.8073,69.01544
278.2894,77.35095
278.7715,85.60785
279.2537,93.20184
279.7358,100.6672
280.2179,110.7269
280.7,123.8515
281.1821,137.6392
281.6642,150.4549
282.1464,162.299
282.6285,173.6068
283.1106,184.2849
283.5927,194.6082
284.0748,205.3757
284.5569,216.6803
285.0391,227.9433
285.5212,238.9045
286.0033,249.5676
286.4854,259.8792
286.9675,269.5718
287.4496,279.2962
287.9318,290.2412
288.4139,302.5119
288.896,315.7831
289.3781,330.4706
289.8602,346.3286
290.3423,361.9
290.8245,376.7768
291.3066,392.1503
291.7887,409.4915
292.2708,428.8246
292.7529,449.8608
293.235,473.0156
293.7172,497.7872
294.1993,521.8287
294.6814,545.0881
295.1635,568.0665
295.6456,592.2166
296.1277,616.8577
296.6099,638.7595
297.092,657.3838
297.5741,671.7632
298.0562,679.7593
298.5383,681.2818
299.0204,676.3751
299.5026,665.1157
299.9847,647.4877
300.4668,622.8441
300.9489,588.953
301.4311,549.3317
301.9132,508.4455
302.3953,466.037
302.8774,424.6179
303.3595,384.8794
303.8416,347.4048
304.3238,312.1113
304.8059,279.2733
305.288,249.2584
305.7701,223.4322
306.2522,201.3661
306.7343,182.031
307.2165,164.8672
307.6986,149.736
308.1807,136.4996
308.6628,125.2791
309.1449,115.3876
309.627,106.2411
310.1092,97.73701
310.5913,90.15459
311.0734,83.59769
311.5555,77.96425
312.0376,73.27745
312.5197,69.5667
313.0019,66.43307
313.484,64.11761
313.9661,62.27234
314.4482,60.12306
314.9303,56.89336
315.4124,53.61755
315.8946,50.95273
316.3767,48.97873
316.8588,47.17873
317.3409,45.24571
317.823,43.34433
318.3051,41.67661
318.7873,40.71523
319.2694,39.91882
319.7515,39.02145
320.2336,37.94836
320.7157,37.08597
321.1978,36.56735
321.68,36.29636
322.1621,36.15404
322.6442,35.99326
323.1263,36.19615
323.6084,37.00142
324.0905,38.35216
324.5727,39.49704
325.0548,40.1579
325.5369,40.75513
326.019,41.53853
326.5012,42.41641
326.9833,43.42883
327.4654,44.34901
327.9475,45.38489
328.4296,47.19637
328.9117,50.21458
329.3939,53.53899
329.876,56.83992
330.3581,60.117
330.8402,63.48055
331.3223,66.67172
331.8044,70.04224
332.2866,74.35052
332.7687,79.99728
333.2508,85.81425
333.7329,91.33879
334.215,96.32664
334.6971,102.1938
335.1793,109.5371
335.6614,117.444
336.1435,124.57
336.6256,130.6695
337.1077,136.789
337.5898,142.9374
338.072,149.223
338.5541,156.2935
339.0362,164.4408
339.5183,172.8684
340.0004,180.6894
340.4825,187.8631
340.9647,195.2053
341.4468,202.7152
341.9289,210.5368
342.411,219.3857
342.8931,229.2478
343.3752,239.7364
343.8574,250.4549
344.3395,261.4988
344.8216,272.9593
345.3037,284.8013
345.7858,297.1378
346.2679,310.2943
346.7501,324.3304
347.2322,338.413
347.7143,352.6143
348.1964,366.636
348.6785,380.0606
349.1607,393.2329
349.6428,404.5665
350.1249,412.116
350.607,416.4637
351.0891,419.5888
351.5713,423.8817
352.0534,426.6116
352.5355,423.4838
353.0176,414.6075
353.4997,402.1769
353.9818,387.0346
354.464,369.7417
354.9461,350.7274
355.4282,329.2575
355.9103,307.4691
356.3924,287.0036
356.8745,267.6823
357.3567,249.2906
357.8388,231.7116
358.3209,214.8519
358.803,198.2125
359.2851,181.3631
359.7672,166.0396
360.2494,153.518
360.7315,143.0925
361.2136,133.6459
361.6957,124.8037
362.1778,116.6672
362.6599,109.3946
363.1421,103.0618
363.6242,97.03986
364.1063,91.11903
364.5884,85.39772
365.0705,80.02834
365.5526,74.83005
366.0348,70.21625
366.5169,66.45453
366.999,63.50038
367.4811,60.60562
367.9632,57.94383
368.4453,55.14453
368.9275,51.99983
369.4096,47.97302
369.8917,44.36406
370.3738,41.30115
370.8559,38.65543
371.338,36.16708
371.8202,34.13402
372.3023,31.81273
372.7844,28.80099
373.2665,24.78667
373.7487,21.4265
374.2308,18.85555
374.7129,16.80402
375.195,14.91209
375.6771,13.21866
376.1592,11.54121
376.6414,9.766266
377.1235,7.933716
377.6056,6.431374
378.0877,5.3405
378.5698,4.266068
379.0519,2.679619
379.5341,0.590179
380.0162,1.017799
380.4983,1.899063
380.9804,2.288071
381.4625,2.518059
381.9446,2.601746
382.4268,2.895088
382.9089,3.967377
383.391,5.455635
383.8731,6.081169
384.3552,5.618958
384.8373,4.885178
385.3195,4.952164
385.8016,5.551071
386.2837,5.891556
386.7658,5.30162
387.2479,4.413948
387.73,4.055107
388.2122,4.211914
388.6943,4.485527
389.1764,4.833778
389.6585,5.043037
390.1406,4.82019
390.6227,4.001656
391.1049,2.852646
391.587,1.262062
392.0691,0.56942
392.5512,2.035957
393.0333,2.431442
393.5154,2.670624
393.9976,3.41304
394.4797,4.948326
394.9618,6.290283
395.4439,6.618057
395.926,6.713348
396.4081,7.612198
396.8903,10.71308
397.3724,13.4825
397.8545,14.83167
398.3366,14.65424
398.8188,15.5249
399.3009,18.85007
399.783,22.4596
400.2651,24.93073
400.7472,24.74429
401.2293,25.72952
401.7115,28.5304
402.1936,32.5863
402.6757,36.19962
403.1578,39.15134
403.6399,42.04088
404.122,44.99162
404.6042,47.92464
405.0863,51.50872
405.5684,55.85409
406.0505,60.60901
406.5326,65.21447
407.0147,69.60716
407.4969,74.44668
407.979,79.84753
408.4611,85.87556
408.9432,92.83184
409.4253,100.7009
409.9074,109.3551
410.3896,118.623
410.8717,128.6091
411.3538,139.7721
411.8359,152.0095
412.318,165.5737
412.8001,180.8047
413.2823,197.4724
413.7644,215.774
414.2465,235.4347
414.7286,256.8471
415.2107,281.096
415.6928,308.0439
416.175,336.8623
416.6571,367.893
417.1392,399.8923
417.6213,432.2484
418.1034,464.09
418.5855,496.4908
419.0677,529.9886
419.5498,564.5391
420.0319,598.6573
420.514,631.8312
420.9961,664.7804
421.4782,697.8398
421.9604,730.4954
422.4425,764.5488
422.9246,799.7403
423.4067,836.3525
423.8889,875.2888
424.371,914.6832
424.8531,958.3214
425.3352,1006.534
425.8173,1059.225
426.2994,1115.387
426.7816,1174.803
427.2637,1237.457
427.7458,1303.334
428.2279,1374.161
428.71,1446.186
429.1921,1519.206
429.6743,1592.713
430.1564,1664.366
430.6385,1735.669
431.1206,1799.583
431.6027,1854.775
432.0848,1901.429
432.567,1933.018
433.0491,1950.288
433.5312,1949.612
434.0133,1926.193
434.4954,1880.953
434.9775,1819.031
435.4597,1739.124
435.9418,1646.688
436.4239,1548.207
436.906,1445.65
437.3881,1346.031
437.8702,1252.449
438.3524,1165.195
438.8345,1084.199
439.3166,1009.155
439.7987,942.3135
440.2808,886.5269
440.7629,839.6135
441.2451,798.77
441.7272,764.2494
442.2093,734.5919
442.6914,709.2167
443.1735,688.0544
443.6556,671.1115
444.1378,658.6899
444.6199,650.4493
445.102,646.4092
445.5841,647.1669
446.0662,650.6486
446.5483,657.2109
447.0305,666.188
447.5126,676.6074
447.9947,689.9418
448.4768,702.9354
448.959,715.0598
449.4411,726.2437
449.9232,736.8155
450.4053,748.1392
450.8874,756.7726
451.3695,761.0361
451.8517,762.0391
452.3338,754.057
452.8159,736.4985
453.298,709.8331
453.7801,672.7657
454.2622,625.0944
454.7444,574.6677
455.2265,524.1417
455.7086,473.717
456.1907,425.7069
456.6728,379.3818
457.1549,337.726
457.6371,303.0032
458.1192,274.297
458.6013,248.4695
459.0834,225.0817
459.5655,204.2718
460.0476,186.9891
460.5298,172.6175
461.0119,160.2113
461.494,149.9251
461.9761,140.5914
462.4582,131.0814
462.9403,121.1276
463.4225,112.3264
463.9046,106.2139
464.3867,101.165
464.8688,95.79327
465.3509,88.67673
465.833,82.37399
466.3152,77.58199
466.7973,74.07024
467.2794,71.02406
467.7615,68.77338
468.2436,66.55665
468.7257,64.06679
469.2079,61.22192
469.69,58.64812
470.1721,56.521
470.6542,54.49408
471.1363,52.10236
471.6184,49.13152
472.1006,46.67227
472.5827,45.02622
473.0648,43.94608
473.5469,42.79184
474.0291,41.584
474.5112,40.06509
474.9933,37.73999
475.4754,34.90721
475.9575,33.03476
476.4396,32.27875
476.9218,31.66476
477.4039,30.07182
477.886,27.83463
478.3681,25.74526
478.8502,24.10265
479.3323,22.6497
479.8145,21.21922
480.2966,19.7718
480.7787,18.23784
481.2608,16.34118
481.7429,14.47669
482.225,12.99941
482.7072,12.03972
483.1893,10.92721
483.6714,8.94622
484.1535,6.91143
484.6356,5.640572
485.1177,6.210541
485.5999,6.45504
486.082,5.992882
486.5641,4.9524
487.0462,3.70269
487.5283,1.741356
488.0104,0.253227
488.4926,0.150154
488.9747,0.785355
489.4568,1.151604
489.9389,0.770866
490.421,0.136139
490.9031,0.231865
491.3853,0.327278
491.8674,0.258835
492.3495,0.083878003
492.8316,0.4189
493.3137,0.060164999
493.7958,1.276207
494.278,2.333321
494.7601,2.500084
495.2422,2.199829
495.7243,2.27639
496.2064,2.78373
496.6885,3.273758
497.1707,3.489883
497.6528,3.441811
498.1349,3.091232
498.617,2.002182
499.0992,1.230392
499.5813,1.727036
500.0634,2.990509
500.5455,3.791718
501.0276,3.063736
501.5097,2.38839
501.9919,2.55883
502.474,3.807953
502.9561,4.595352
503.4382,4.615616
503.9203,4.280403
504.4024,3.808243
504.8846,2.912018
505.3667,2.523155
505.8488,2.963364
506.3309,3.77636
506.813,3.924164
507.2951,3.276443
507.7773,2.545235
508.2594,1.94281
508.7415,1.475838
509.2236,1.283005
509.7057,1.402649
510.1878,1.310539
510.67,0.132668
511.1521,1.628708
511.6342,2.293747
512.1163,1.323769
512.5984,0.213394
513.0806,0.74646
513.5627,2.301926
514.0448,3.581726
514.5269,3.514137
515.009,3.391273
515.4911,4.244637
515.9733,5.928772
516.4554,7.377312
516.9375,7.705376
517.4196,8.028671
517.9017,9.105721
518.3839,11.52215
518.866,13.46664
519.3481,14.45604
519.8302,15.00356
520.3123,15.57048
520.7944,15.86024
521.2766,16.74906
521.7587,18.60553
522.2408,21.12388
522.7229,23.14674
523.205,24.56899
523.6871,25.89457
524.1693,27.34169
524.6514,28.89034
525.1335,30.60987
525.6156,32.51577
526.0977,34.54295
526.5798,36.78165
527.062,39.12944
527.5441,41.12647
528.0262,42.34305
528.5083,43.83017
528.9904,47.18585
529.4725,51.70602
529.9547,55.65759
530.4368,57.33317
530.9189,58.80295
531.401,61.37686
531.8831,65.12893
532.3652,69.10123
532.8474,73.65552
533.3295,77.9236
533.8116,81.31278
534.2937,82.43044
534.7758,84.91083
535.2579,89.55157
535.7401,95.24065
536.2222,100.2565
536.7043,104.5331
537.1864,108.452
537.6685,111.9058
538.1506,115.1089
538.6328,118.9909
539.1149,123.7003
539.597,128.4187
540.0791,132.4921
540.5612,136.1271
541.0433,140.106
541.5255,144.4991
542.0076,148.8067
542.4897,152.2979
542.9718,155.4057
543.4539,159.0939
543.936,163.8254
544.4182,168.7593
544.9003,173.234
545.3824,177.3274
545.8645,181.2443
546.3466,185.2678
546.8287,189.1264
547.3109,192.5422
547.793,195.4371
548.2751,198.2145
548.7572,200.732
549.2393,203.3492
549.7214,206.2972
550.2036,209.9
550.6857,213.1395
551.1678,215.8053
551.6499,218.1936
552.132,220.7492
552.6141,223.5722
553.0963,226.4291
553.5784,229.1283
554.0605,231.87
554.5426,235.355
555.0247,239.5675
555.5068,243.9336
555.989,247.9661
556.4711,251.9919
556.9532,256.4661
557.4353,261.3257
557.9174,266.341
558.3995,270.9519
558.8817,275.9095
559.3638,282.0918
559.8459,290.3232
560.3281,298.1712
560.8102,304.1216
561.2923,309.2312
561.7744,315.0653
562.2565,322.7751
562.7386,330.3287
563.2208,337.4298
563.7029,343.9799
564.185,350.0216
564.6671,355.2387
565.1492,360.5703
565.6313,366.6559
566.1135,373.5526
566.5956,379.6107
567.0777,384.7248
567.5598,389.129
568.0419,393.0706
568.524,396.5792
569.0062,399.8105
569.4883,402.8612
569.9704,405.403
570.4525,407.4049
570.9346,408.5733
571.4167,408.0881
571.8989,404.9204
572.381,400.5385
572.8631,396.2201
573.3452,391.7739
573.8273,385.5707
574.3094,376.4232
574.7916,365.8569
575.2737,354.5684
575.7558,342.507
576.2379,330.1722
576.72,317.7578
577.2021,305.0877
577.6843,291.7096
578.1664,277.2306
578.6485,263.4977
579.1306,250.6103
579.6127,238.4651
580.0948,226.5413
580.577,214.8863
581.0591,203.3535
581.5412,191.9417
582.0233,180.7061
582.5054,169.6566
582.9875,158.9496
583.4697,148.6136
583.9518,138.4961
584.4339,129.0199
584.916,120.8722
585.3981,114.2509
585.8802,107.738
586.3624,100.1949
586.8445,92.64199
587.3266,86.01923
587.8087,80.93259
588.2908,76.25829
588.7729,71.93294
589.2551,67.9258
589.7372,64.19965
590.2193,60.75621
590.7014,57.58733
591.1835,54.7944
591.6656,52.28785
592.1478,49.6118
592.6299,46.74691
593.112,44.02574
593.5941,41.4975
594.0762,39.26598
594.5583,37.94588
595.0405,37.6049
595.5226,37.21976
596.0047,35.74855
596.4868,33.71768
596.9689,31.782
597.451,29.92706
597.9332,28.64074
598.4153,28.49117
598.8974,28.98946
599.3795,29.42479
599.8616,29.58313
600.3438,29.7768
600.8259,30.12921
601.308,30.5528
601.7901,30.71153
602.2722,30.20392
602.7543,30.08447
603.2365,30.76558
603.7186,32.22693
604.2007,33.83181
604.6828,35.46119
605.1649,37.80269
605.647,41.48191
606.1292,46.38783
606.6113,52.03587
607.0934,58.18324
607.5755,65.27233
608.0576,73.7602
608.5398,83.50029
609.0219,94.10501
609.504,106.3741
609.9861,118.2957
610.4683,128.884
610.9504,138.4166
611.4325,147.5086
611.9146,155.6183
612.3967,163.7096
612.8788,171.9001
613.361,180.2401
613.8431,189.8175
614.3252,200.3127
614.8073,212.4965
615.2894,226.8029
615.7715,243.1044
616.2537,262.2393
616.7358,284.4434
617.2179,308.3621
617.7,332.5296
618.1821,357.1995
618.6642,382.4491
619.1464,408.5812
619.6285,435.4627
620.1106,463.5283
620.5927,492.3291
621.0748,520.9116
621.5569,551.3188
622.0391,579.3276
622.5212,607.7803
623.0033,633.1578
623.4854,644.7743
623.9675,642.6517
624.4496,623.848
624.9318,584.4988
625.4139,524.9454
625.896,463.021
626.3781,396.4754
626.8602,334.2825
627.3423,281.9395
627.8245,239.3247
628.3066,203.4481
628.7887,174.3671
629.2708,150.6862
629.7529,132.1452
630.235,117.9275
630.7172,105.7542
631.1993,95.1312
631.6814,86.62444
632.1635,81.13107
632.6456,77.89735
633.1277,75.66376
633.6099,74.39832
634.092,73.66866
634.5741,73.50662
635.0562,73.82165
635.5383,74.20844
636.0204,74.49728
636.5026,75.19772
636.9847,76.45224
637.4668,78.1873
637.9489,80.15129
638.431,82.57072
638.9131,84.39597
639.3953,84.88618
639.8774,84.18458
640.3595,82.97834
640.8416,81.31425
641.3237,78.89037
641.8058,75.31515
642.288,70.87881
642.7701,66.03185
643.2522,60.72334
643.7343,55.29654
644.2164,49.53471
644.6985,43.81631
645.1807,38.6937
645.6628,34.28263
646.1449,30.49387
646.627,27.5604
647.1091,25.15978
647.5912,22.5302
648.0734,19.49294
648.5555,16.68549
649.0376,14.30028
649.5197,12.2696
650.0018,10.30729
650.4839,8.386543
650.9661,6.615112
651.4482,4.937035
651.9303,3.47348
652.4124,2.507988
652.8945,2.043884
653.3766,1.666191
653.8588,1.173836
654.3409,0.597771
654.823,0.104797
655.3051,1.097862
655.7872,1.736488
656.2693,1.455933
656.7515,0.994026
657.2336,1.098648
657.7158,2.212936
658.1979,2.924438
658.68,3.073364
659.1621,2.8423
659.6442,2.515617
660.1263,2.09446
660.6085,1.577927
661.0906,0.862869
661.5727,0.182312
662.0548,0.093268998
662.5369,0.012215
663.019,0.406921
663.5012,1.460346
663.9833,2.454758
664.4654,2.727924
664.9475,2.348957
665.4296,2.027409
665.9117,2.139614
666.3939,2.237865
666.876,1.983658
667.3581,1.238976
667.8402,1.126873
668.3223,2.065807
668.8044,2.978439
669.2866,2.909069
669.7687,1.802017
670.2508,1.1922
670.7329,1.212078
671.215,1.49049
671.6971,1.849552
672.1793,2.140144
672.6614,1.871452
673.1435,0.701767
673.6256,0.445568
674.1077,0.876678
674.5898,0.796341
675.072,0.522877
675.5541,0.265804
676.0362,0.764862
676.5183,0.494545
677.0004,0.226154
677.4825,0.50016
677.9647,0.052329998
678.4468,0.298737
678.9289,0.353271
679.411,0.131569
679.8931,0.418743
680.3752,1.334728
680.8574,1.932053
681.3395,1.436367
681.8216,0.457043
682.3037,0.507977
682.7858,1.509129
683.2679,2.228275
683.7501,1.549732
684.2322,0.426147
684.7143,0.468174
685.1964,1.072414
685.6785,1.206848
686.1606,0.438156
686.6428,0.561104
687.1249,1.35038
687.607,2.071987
688.0891,2.154564
688.5712,1.320633
689.0533,0.305374
689.5355,0.012981
690.0176,0.342754
690.4997,1.026134
690.9818,2.088947
691.4639,3.140247
691.946,3.786537
692.4282,3.993721
692.9103,3.638954
693.3924,1.977226
693.8745,0.571037
694.3566,0.586063
694.8387,1.549175
695.3209,2.346905
695.803,2.546509
696.2851,2.880352
696.7672,3.662689
697.2493,4.742043
697.7314,5.231125
698.2136,4.920403
698.6957,4.714405
699.1778,5.064655
699.6599,5.842026
700.142,6.624451
700.6241,7.385521
701.1063,7.683853
701.5884,6.7519
702.0705,5.544197
702.5526,5.363773
703.0347,6.294678
703.5168,7.229614
703.999,7.880005
704.4811,8.156532
704.9632,7.840813
705.4453,6.390839
705.9274,5.933079
706.4095,7.063606
706.8917,8.515053
707.3738,9.150078
707.856,8.852577
708.3381,8.87624
708.8202,9.427711
709.3023,9.9128
709.7844,9.261555
710.2665,7.930573
710.7487,7.214237
711.2308,7.551163
711.7129,8.302334
712.195,9.218185
712.6771,10.15199
713.1592,10.87162
713.6414,11.61769
