WavwNum_Magnetite,value_Magnetite
100.0,0.0
157.5278,0.0
158.0099,0.001837
158.492,0.065687001
158.9741,0.157944
159.4562,0.216274
159.9383,0.123577
160.4205,0.08997
160.9026,0.255053
161.3847,0.658924
161.8668,1.025311
162.3489,1.095486
162.831,1.022655
163.3132,0.890469
163.7953,0.661781
164.2774,0.433779
164.7595,0.228334
165.2416,0.034162998
165.7237,0.048852999
166.2059,0.131702
166.688,0.436998
167.1701,0.65617
167.6522,0.564129
168.1343,0.439224
168.6164,0.515591
169.0985,0.868008
169.5807,1.209373
170.0628,1.338799
170.5449,1.314091
171.027,1.235256
171.5091,1.090654
171.9912,0.947441
172.4734,0.879494
172.9555,0.909369
173.4376,0.969227
173.9197,1.045967
174.4018,1.116032
174.8839,1.111864
175.3661,0.859097
175.8482,0.55443
176.3303,0.493118
176.8124,0.79797
177.2945,1.169708
177.7766,1.255289
178.2588,1.105961
178.7409,0.944897
179.223,0.920334
179.7051,0.974642
180.1872,1.013182
180.6693,1.126316
181.1515,1.251806
181.6336,1.313698
182.1157,1.361868
182.5978,1.437321
183.0799,1.518623
183.562,1.522305
184.0442,1.525694
184.5263,1.607971
185.0084,1.71265
185.4905,1.731121
185.9726,1.664574
186.4547,1.574837
186.9369,1.528196
187.419,1.483437
187.9011,1.467455
188.3832,1.521739
188.8653,1.566986
189.3474,1.463404
189.8296,1.209225
190.3117,0.978313
190.7938,0.886077
191.2759,0.924668
191.758,1.011137
192.2401,1.136272
192.7223,1.291624
193.2044,1.485666
193.6865,1.733512
194.1686,1.916065
194.6507,1.916899
195.1328,1.741962
195.615,1.473455
196.0971,1.067529
196.5792,0.596641
197.0613,0.366113
197.5434,0.401785
198.0255,0.552432
198.5077,0.72175
198.9898,0.91616
199.4719,0.978549
199.954,0.796253
200.4361,0.446432
200.9182,0.425903
201.4004,0.841835
201.8825,1.261106
202.3646,1.166471
202.8467,0.484232
203.3288,0.081873
203.8109,0.353321
204.2931,0.356546
204.7752,0.29084
205.2573,0.128738
205.7394,0.036759999
206.2215,0.104462
206.7036,0.059861999
207.1858,0.01306
207.6679,0.118359
208.15,0.248403
208.6321,0.272538
209.1142,0.163651
209.5963,0.00036000001
210.0785,0.149227
210.5606,0.297367
211.0427,0.380322
211.5248,0.364727
212.0069,0.253414
212.489,0.180702
212.9712,0.157923
213.4533,0.157042
213.9354,0.153725
214.4175,0.157055
214.8996,0.127956
215.3817,0.04738
215.8639,0.093301997
216.346,0.162745
216.8281,0.133968
217.3102,0.070274003
217.7923,0.049417
218.2744,0.101948
218.7565,0.11536
219.2387,0.042727999
219.7208,0.119917
220.2029,0.20167
220.685,0.175667
221.1671,0.099619001
221.6492,0.031145001
222.1314,0.039349001
222.6135,0.081721999
223.0956,0.088871002
223.5777,0.063660003
224.0598,0.0050349999
224.5419,0.103432
225.0241,0.21706
225.5062,0.289625
225.9883,0.30945
226.4704,0.309044
226.9525,0.278477
227.4346,0.213182
227.9168,0.225245
228.3989,0.358177
228.881,0.521942
229.3631,0.623268
229.8452,0.650356
230.3273,0.63785
230.8095,0.574291
231.2916,0.455896
231.7737,0.398413
232.2558,0.433558
232.7379,0.496725
233.22,0.519131
233.7022,0.469219
234.1843,0.440575
234.6664,0.453983
235.1485,0.509651
235.6306,0.573046
236.1127,0.640238
236.5949,0.719982
237.077,0.83217
237.5591,1.033649
238.0412,1.153337
238.5233,1.125319
239.0054,0.949472
239.4876,0.871471
239.9697,0.972759
240.4518,1.083426
240.9339,1.036364
241.416,0.709536
241.8981,0.467983
242.3803,0.390415
242.8624,0.472269
243.3445,0.548367
243.8266,0.611698
244.3087,0.67782
244.7908,0.764561
245.273,0.900455
245.7551,0.998537
246.2372,1.037424
246.7193,1.021427
247.2014,1.006557
247.6835,0.978537
248.1657,0.968498
248.6478,1.004984
249.1299,1.115355
249.612,1.212942
250.0941,1.285467
250.5762,1.335524
251.0584,1.387482
251.5405,1.459332
252.0226,1.508749
252.5047,1.501898
252.9868,1.416319
253.4689,1.319481
253.9511,1.167303
254.4332,0.999056
254.9153,1.07523
255.3974,1.565149
255.8795,2.04283
256.3616,2.217421
256.8438,1.962286
257.3259,1.73382
257.808,1.543337
258.2901,1.406218
258.7722,1.393221
259.2543,1.562399
259.7365,1.759296
260.2186,1.899191
260.7007,1.956255
261.1828,2.018293
261.6649,2.108688
262.147,2.21455
262.6292,2.23855
263.1113,2.131115
263.5934,2.059364
264.0755,2.127144
264.5576,2.403992
265.0397,2.534161
265.5219,2.437262
266.004,2.230885
266.4861,2.224297
266.9682,2.516977
267.4503,2.794443
267.9324,2.874874
268.4146,2.691002
268.8967,2.610996
269.3788,2.654987
269.8609,2.782566
270.343,2.942661
270.8251,3.166855
271.3073,3.317392
271.7894,3.287283
272.2715,3.044222
272.7536,2.984541
273.2357,3.160179
273.7178,3.436197
274.2,3.626341
274.6821,3.721304
275.1642,3.800156
275.6463,3.881376
276.1284,3.960215
276.6105,4.049625
277.0927,4.160379
277.5748,4.274004
278.0569,4.364468
278.539,4.429193
279.0211,4.48748
279.5032,4.545828
279.9854,4.601299
280.4675,4.639278
280.9496,4.65555
281.4317,4.680943
281.9138,4.766287
282.3959,4.913403
282.8781,5.008923
283.3602,4.997568
283.8423,4.915854
284.3244,4.916521
284.8065,5.002354
285.2886,5.149807
285.7708,5.388868
286.2529,5.709496
286.735,5.916508
287.2171,5.947498
287.6992,5.853466
288.1813,5.725626
288.6635,5.555481
289.1456,5.486025
289.6277,5.703196
290.1098,6.158443
290.5919,6.516657
291.074,6.717966
291.5562,6.812771
292.0383,6.897837
292.5204,6.971733
293.0025,6.989023
293.4846,6.849468
293.9667,6.617977
294.4489,6.535513
294.931,6.655161
295.4131,6.868773
295.8952,7.06354
296.3773,7.231161
296.8594,7.323547
297.3416,7.258329
297.8237,7.104462
298.3058,7.038946
298.7879,7.091043
299.27,7.144197
299.7521,6.999569
300.2343,6.726458
300.7164,6.554588
301.1985,6.708561
301.6806,6.993532
302.1627,7.089386
302.6448,6.981485
303.127,6.824039
303.6091,6.722288
304.0912,6.676311
304.5733,6.68148
305.0554,6.748726
305.5375,6.859854
306.0197,7.054586
306.5018,7.321785
306.9839,7.474926
307.466,7.229105
307.9481,6.815184
308.4302,6.569559
308.9124,6.749399
309.3945,6.981367
309.8766,6.977081
310.3587,6.758585
310.8408,6.440495
311.3229,5.921253
311.8051,5.408844
312.2872,5.139168
312.7693,5.250149
313.2514,5.465864
313.7335,5.722746
314.2156,5.973789
314.6978,6.0851
315.1799,5.884775
315.662,5.58622
316.1441,5.337404
316.6262,5.167892
317.1083,5.04467
317.5905,4.969713
318.0726,4.923113
318.5547,4.880232
319.0368,4.869057
319.5189,4.849718
320.001,4.825113
320.4832,4.814978
320.9653,4.695684
321.4474,4.270918
321.9295,3.772221
322.4116,3.470514
322.8937,3.648344
323.3759,3.822653
323.858,3.825375
324.3401,3.63975
324.8222,3.510426
325.3043,3.493758
325.7864,3.51196
326.2686,3.523692
326.7507,3.628819
327.2328,3.629195
327.7149,3.423078
328.197,3.038855
328.6791,2.785561
329.1613,2.746454
329.6434,2.77767
330.1255,2.810769
330.6076,2.878963
331.0897,2.901272
331.5718,2.887539
332.054,2.829391
332.5361,2.691088
333.0182,2.360033
333.5003,2.095362
333.9824,2.026773
334.4645,2.256798
334.9467,2.367033
335.4288,2.333185
335.9109,2.195359
336.393,1.995832
336.8751,1.664064
337.3572,1.43539
337.8394,1.420391
338.3215,1.624702
338.8036,1.740671
339.2857,1.76549
339.7678,1.715922
340.2499,1.568068
340.732,1.292695
341.2141,1.119556
341.6963,1.123333
342.1784,1.262711
342.6605,1.369814
343.1426,1.445855
343.6247,1.481696
344.1068,1.472603
344.589,1.418735
345.0711,1.294018
345.5532,1.067601
346.0353,0.807973
346.5174,0.655493
346.9995,0.6085
347.4817,0.633019
347.9638,0.754781
348.4459,0.938496
348.928,1.054627
349.4101,1.090575
349.8922,1.073653
350.3744,1.029287
350.8565,0.947852
351.3386,0.856901
351.8207,0.788186
352.3028,0.731057
352.7849,0.658711
353.2671,0.569771
353.7492,0.495873
354.2313,0.448232
354.7134,0.435755
355.1955,0.483932
355.6776,0.699153
356.1598,0.885735
356.6419,0.825546
357.124,0.555263
357.6061,0.271769
358.0882,0.005568
358.5703,0.174255
359.0525,0.166108
359.5346,0.157509
360.0167,0.455508
360.4988,0.48201
360.9809,0.336521
361.463,0.237257
361.9452,0.313429
362.4273,0.409758
362.9094,0.427228
363.3915,0.332605
363.8736,0.262112
364.3557,0.295635
364.8379,0.365767
365.32,0.393652
365.8021,0.298143
366.2842,0.22118
366.7663,0.223318
367.2484,0.30477
367.7306,0.343884
368.2127,0.29618
368.6948,0.221315
369.1769,0.158492
369.659,0.120456
370.1411,0.080820002
370.6233,0.035721
371.1054,0.01193
371.5875,0.054676
372.0696,0.107543
372.5517,0.137927
373.0338,0.121637
373.516,0.018451
373.9981,0.0049100001
374.4802,0.118906
374.9623,0.26999
375.4444,0.226467
375.9265,0.103546
376.4087,0.375788
376.8908,0.460181
377.3729,0.365355
377.855,0.365069
378.3371,0.501137
378.8192,0.620457
379.3014,0.541582
379.7835,0.252719
380.2656,0.0024240001
380.7477,0.163112
381.2298,0.260245
381.7119,0.348991
382.1941,0.429079
382.6762,0.418396
383.1583,0.165443
383.6404,0.234515
384.1225,0.394189
384.6046,0.232539
385.0868,0.0081449999
385.5689,0.011454
386.051,0.223457
386.5331,0.370374
387.0152,0.240463
387.4973,0.0099900002
387.9795,0.046448998
388.4616,0.074633002
388.9437,0.208137
389.4258,0.22262
389.9079,0.173529
390.39,0.136307
390.8722,0.132853
391.3543,0.136114
391.8364,0.114198
392.3185,0.080986999
392.8006,0.083720997
393.2827,0.235781
393.7649,0.37496
394.247,0.362605
394.7291,0.110676
395.2112,0.085928999
395.6933,0.095035002
396.1754,0.005351
396.6576,0.062749997
397.1397,0.072512001
397.6218,0.068456002
398.1039,0.049995001
398.586,0.012736
399.0681,0.020199999
399.5503,0.108028
400.0324,0.227217
400.5145,0.341596
400.9966,0.468388
401.4787,0.570043
401.9608,0.660228
402.443,0.725949
402.9251,0.704054
403.4072,0.526479
403.8893,0.361945
404.3714,0.288527
404.8535,0.322846
405.3357,0.395709
405.8178,0.555354
406.2999,0.68946
406.782,0.571908
407.2641,0.132953
407.7462,0.147143
408.2284,0.074974999
408.7105,0.272313
409.1926,0.538496
409.6747,0.728703
410.1568,0.813771
410.6389,0.689363
411.1211,0.405468
411.6032,0.247116
412.0853,0.292835
412.5674,0.420197
413.0495,0.444958
413.5316,0.384007
414.0138,0.323789
414.4959,0.328396
414.978,0.371685
415.4601,0.395
415.9422,0.393142
416.4243,0.39205
416.9065,0.44635
417.3886,0.509814
417.8707,0.499263
418.3528,0.217285
418.8349,0.015654
419.317,0.229754
419.7992,0.762772
420.2813,1.149193
420.7634,1.076788
421.2455,0.867707
421.7276,0.740741
422.2097,0.777646
422.6919,0.780233
423.174,0.627085
423.6561,0.425597
424.1382,0.336936
424.6203,0.528446
425.1024,0.694405
425.5846,0.746063
426.0667,0.675164
426.5488,0.634315
427.0309,0.658925
427.513,0.681915
427.9951,0.647215
428.4773,0.490913
428.9594,0.424706
429.4415,0.510241
429.9236,0.670696
430.4057,0.69852
430.8878,0.552385
431.37,0.41085
431.8521,0.358182
432.3342,0.390507
432.8163,0.353801
433.2984,0.233359
433.7805,0.147502
434.2627,0.270204
434.7448,0.573345
435.2269,0.764133
435.709,0.733111
436.1911,0.584716
436.6732,0.516328
437.1554,0.521755
437.6375,0.556028
438.1196,0.654707
438.6017,0.736906
439.0838,0.646753
439.5659,0.335163
440.048,0.025237
440.5302,0.107443
441.0123,0.089359
441.4944,0.0029420001
441.9765,0.237215
442.4586,0.441912
442.9407,0.477494
443.4229,0.365414
443.905,0.282496
444.3871,0.351499
444.8692,0.441565
445.3513,0.46542
445.8334,0.379538
446.3156,0.279762
446.7977,0.144724
447.2798,0.0087479996
447.7619,0.066347003
448.244,0.056131002
448.7261,0.0045309998
449.2083,0.105797
449.6904,0.282619
450.1725,0.368206
450.6546,0.335855
451.1367,0.245686
451.6188,0.122831
452.101,0.069246002
452.5831,0.16214
453.0652,0.121039
453.5473,0.0019980001
454.0294,0.059971001
454.5115,0.056602001
454.9937,0.039664
455.4758,0.014023
455.9579,0.0098919999
456.44,0.048934001
456.9221,0.203018
457.4042,0.354621
457.8864,0.400423
458.3685,0.362979
458.8506,0.30423
459.3327,0.224367
459.8148,0.155586
460.2969,0.140926
460.7791,0.170611
461.2612,0.212797
461.7433,0.268887
462.2254,0.317467
462.7075,0.336913
463.1896,0.32415
463.6718,0.303066
464.1539,0.27685
464.636,0.25299
465.1181,0.2376
465.6002,0.25136
466.0823,0.246116
466.5645,0.174139
467.0466,0.056471001
467.5287,0.013843
468.0108,0.143488
468.4929,0.274683
468.975,0.34481
469.4572,0.336073
469.9393,0.334311
470.4214,0.375916
470.9035,0.390575
471.3856,0.262537
471.8677,0.112223
472.3499,0.283876
472.832,0.107975
473.3141,0.294115
473.7962,0.490893
474.2783,0.459232
474.7604,0.391072
475.2426,0.407433
475.7247,0.489328
476.2068,0.510503
476.6889,0.454298
477.171,0.396292
477.6531,0.404112
478.1353,0.458529
478.6174,0.509684
479.0995,0.520182
479.5816,0.544696
480.0637,0.676316
480.5458,0.884062
481.028,1.050515
481.5101,1.110085
481.9922,1.099975
482.4743,1.035311
482.9564,0.905114
483.4385,0.788767
483.9207,0.720176
484.4028,0.681835
484.8849,0.655809
485.367,0.641303
485.8491,0.636166
486.3312,0.646106
486.8134,0.667385
487.2955,0.682536
487.7776,0.715034
488.2597,0.712201
488.7418,0.632879
489.2239,0.440604
489.7061,0.353016
490.1882,0.394302
490.6703,0.506262
491.1524,0.648463
491.6345,0.834115
492.1166,0.945609
492.5988,0.942231
493.0809,0.867231
493.563,0.819578
494.0451,0.799359
494.5272,0.8234
495.0093,0.931018
495.4915,1.086193
495.9736,1.217274
496.4557,1.321345
496.9378,1.383464
497.4199,1.350513
497.902,1.268921
498.3842,1.219326
498.8663,1.259921
499.3484,1.316103
499.8305,1.34334
500.3126,1.343662
500.7947,1.332277
501.2769,1.265004
501.759,1.22931
502.2411,1.283235
502.7232,1.446659
503.2053,1.584197
503.6874,1.66017
504.1696,1.7125
504.6517,1.764826
505.1338,1.805576
505.6159,1.862777
506.098,1.967658
506.5801,2.086201
507.0623,2.122617
507.5444,2.044483
508.0265,1.979479
508.5086,1.961637
508.9907,1.992729
509.4728,2.130333
509.955,2.386226
510.4371,2.598
510.9192,2.54378
511.4013,2.319313
511.8834,2.293825
512.3655,2.564674
512.8477,2.899571
513.3298,3.009953
513.8119,2.981299
514.294,3.003168
514.7761,3.229546
515.2582,3.446823
515.7404,3.470098
516.2225,3.327624
516.7046,3.2231
517.1867,3.245612
517.6688,3.353271
518.1509,3.522578
518.6331,3.780121
519.1152,3.984581
519.5973,4.087139
520.0794,4.143003
520.5615,4.221149
521.0436,4.365165
521.5258,4.475589
522.0079,4.516197
522.49,4.500304
522.9721,4.511974
523.4542,4.557867
523.9363,4.626877
524.4185,4.687424
524.9006,4.737703
525.3827,4.943153
525.8648,5.337257
526.3469,5.732008
526.829,5.909309
527.3112,5.918732
527.7933,5.928214
528.2754,5.953909
528.7575,6.024943
529.2396,6.233912
529.7217,6.519007
530.2039,6.729053
530.686,6.815315
531.1681,6.804396
531.6502,6.602528
532.1323,6.216704
532.6144,6.055165
533.0966,6.489312
533.5787,7.067207
534.0608,7.482314
534.5429,7.674791
535.025,7.719674
535.5071,7.52225
535.9893,7.214994
536.4714,6.995319
536.9535,6.92869
537.4356,6.823941
537.9177,6.604311
538.3998,6.306534
538.882,6.200585
539.3641,6.330584
539.8462,6.453606
540.3283,6.381859
540.8104,6.151485
541.2925,6.042606
541.7747,6.085785
542.2568,6.127567
542.7389,5.927669
543.221,5.599741
543.7031,5.430342
544.1852,5.603268
544.6674,5.793812
545.1495,5.659643
545.6316,5.306646
546.1137,4.999095
546.5958,4.859858
547.0779,4.79474
547.5601,4.809723
548.0422,4.907467
548.5243,4.864781
549.0064,4.440599
549.4885,3.999313
549.9706,3.777179
550.4528,3.960833
550.9349,4.00816
551.417,3.849438
551.8991,3.610052
552.3812,3.488729
552.8633,3.526783
553.3455,3.509902
553.8276,3.36912
554.3097,3.147765
554.7918,3.013268
555.2739,2.967664
555.756,2.853425
556.2382,2.453462
556.7203,1.939338
557.2024,1.739222
557.6845,1.879907
558.1666,2.052505
558.6487,1.979119
559.1309,1.793421
559.613,1.672323
560.0951,1.697826
560.5772,1.717489
561.0593,1.612801
561.5414,1.459653
562.0236,1.393214
562.5057,1.557601
562.9878,1.695214
563.4699,1.737206
563.952,1.688565
564.4341,1.601889
564.9163,1.477757
565.3984,1.313198
565.8805,1.072392
566.3626,0.713787
566.8447,0.564561
567.3268,0.683235
567.809,0.842484
568.2911,0.73505
568.7732,0.398586
569.2553,0.198895
569.7374,0.258339
570.2195,0.383395
570.7017,0.249644
571.1838,0.057455
571.6659,0.265264
572.148,0.149037
572.6301,0.054423001
573.1122,0.174708
573.5944,0.209816
574.0765,0.171452
574.5586,0.059762001
575.0407,0.270178
575.5228,0.313498
576.0049,0.093659997
576.4871,0.072929002
576.9692,0.168565
577.4513,0.196937
577.9334,0.148314
578.4155,0.033020001
578.8976,0.153281
579.3798,0.168449
579.8619,0.12657
580.344,0.148915
580.8261,0.240805
581.3082,0.327727
581.7903,0.388423
582.2725,0.417891
582.7546,0.370921
583.2367,0.255489
583.7188,0.179098
584.2009,0.275796
584.683,0.436626
585.1652,0.510432
585.6473,0.466732
586.1294,0.413655
586.6115,0.457109
587.0936,0.505949
587.5757,0.463508
588.0578,0.162427
588.5399,0.063049003
589.022,0.110422
589.5042,0.043382999
589.9863,0.013918
590.4684,0.058118999
590.9505,0.080426998
591.4326,0.047022
591.9147,0.033363
592.3969,0.088499002
592.879,0.121483
593.3611,0.115845
593.8432,0.039811999
594.3253,0.089979
594.8074,0.201639
595.2896,0.295704
595.7717,0.339291
596.2538,0.220795
596.7359,0.044605002
597.218,0.026175
597.7001,0.317509
598.1823,0.566
598.6644,0.434256
599.1465,0.115524
599.6286,0.058993999
600.1107,0.152346
600.5928,0.385223
601.075,0.531796
601.5571,0.597555
602.0392,0.667126
602.5213,0.725964
603.0034,0.813456
603.4855,0.984529
603.9677,1.261209
604.4498,1.269361
604.9319,0.922581
605.414,0.576267
605.8961,0.607752
606.3782,0.958908
606.8604,1.252872
607.3425,1.449919
607.8246,1.559418
608.3067,1.50766
608.7888,1.38047
609.2709,1.368782
609.7531,1.638121
610.2352,1.929989
610.7173,2.059612
611.1994,2.077599
611.6815,2.123343
612.1636,2.290421
612.6458,2.44743
613.1279,2.529314
613.61,2.52984
614.0921,2.587603
614.5742,2.748283
615.0563,2.907328
615.5385,2.998899
616.0206,3.0056
616.5027,3.04236
616.9848,3.09852
617.4669,3.216177
617.949,3.50211
618.4312,3.911215
618.9133,4.192053
619.3954,4.272123
619.8775,4.273502
620.3596,4.300787
620.8417,4.363487
621.3239,4.480787
621.806,4.729315
622.2881,4.973803
622.7702,5.088993
623.2523,5.121122
623.7344,5.261581
624.2166,5.646444
624.6987,6.06916
625.1808,6.466021
625.6629,6.841949
626.145,7.122787
626.6271,7.253473
627.1093,7.382561
627.5914,7.622093
628.0735,7.980289
628.5556,8.333263
629.0377,8.668524
629.5198,8.970697
630.002,9.240471
630.4841,9.489231
630.9662,9.722818
631.4483,9.922474
631.9304,10.14943
632.4125,10.49079
632.8947,10.88864
633.3768,11.24985
633.8589,11.42766
634.341,11.68548
634.8231,12.21222
635.3052,12.9453
635.7874,13.5069
636.2695,13.64443
636.7516,13.82475
637.2337,14.19519
637.7158,14.76516
638.1979,15.49595
638.6801,16.46028
639.1622,17.37273
639.6443,17.97033
640.1264,18.28683
640.6085,18.6422
641.0906,19.05411
641.5728,19.55237
642.0549,20.20307
642.537,20.94565
643.0191,21.691
643.5012,22.41256
643.9833,23.15649
644.4655,24.06704
644.9476,24.9929
645.4297,25.71937
645.9118,25.82713
646.3939,26.13438
646.876,26.9704
647.3582,28.18547
647.8403,29.18007
648.3224,29.8618
648.8045,30.53117
649.2866,31.32023
649.7687,32.21281
650.2509,32.99966
650.733,33.68485
651.2151,34.29921
651.6972,34.75448
652.1793,35.17798
652.6614,35.90977
653.1436,36.98722
653.6257,38.08884
654.1078,38.9214
654.5899,39.64754
655.072,40.4816
655.5541,41.61035
656.0363,42.5462
656.5184,42.93573
657.0005,43.11591
657.4826,43.54323
657.9647,44.49256
658.4468,45.23991
658.929,45.62147
659.4111,45.79562
659.8932,46.16061
660.3753,46.73986
660.8574,47.32145
661.3395,47.90125
661.8217,48.38281
662.3038,48.41858
662.7859,48.07227
663.268,47.78505
663.7501,47.96062
664.2322,48.24551
664.7144,48.31848
665.1965,48.16262
665.6786,47.85812
666.1607,47.19737
666.6428,46.57825
667.1249,46.31161
667.6071,46.69927
668.0892,46.66263
668.5713,45.98533
669.0534,45.12083
669.5355,44.51105
670.0176,44.21772
670.4998,43.69905
670.9819,42.84342
671.464,41.91115
671.9461,41.29979
672.4282,40.9482
672.9103,40.59936
673.3925,40.27053
673.8746,39.75531
674.3567,38.62893
674.8388,37.17174
675.3209,35.98895
675.803,35.61638
676.2852,35.29088
676.7673,34.71144
677.2494,33.90496
677.7315,33.10234
678.2136,32.19701
678.6957,31.46446
679.1779,31.13906
679.66,31.17994
680.1421,30.52325
680.6242,29.03543
681.1063,27.57144
681.5884,26.83475
682.0706,26.58289
682.5527,25.99909
683.0348,25.0252
683.5169,24.06968
683.999,23.48274
684.4811,23.06639
684.9633,22.58304
685.4454,21.96657
685.9275,21.36089
686.4096,20.84748
686.8917,20.34523
687.3738,19.75413
687.856,18.9507
688.3381,18.29351
688.8202,17.84267
689.3023,17.50077
689.7844,17.11605
690.2665,16.68311
690.7487,16.23359
691.2308,15.75408
691.7129,15.29123
692.195,14.96908
692.6771,14.73656
693.1592,14.40828
693.6414,13.80252
694.1235,13.15428
694.6056,12.63672
695.0877,12.23295
695.5698,11.85191
696.0519,11.46161
696.5341,11.10789
697.0162,10.85468
697.4983,10.69915
697.9804,10.34452
698.4625,9.662012
698.9446,9.016363
699.4268,8.680439
699.9089,8.639164
700.391,8.496092
700.8731,8.248705
701.3552,7.979086
701.8373,7.759958
702.3195,7.572852
702.8016,7.402508
703.2837,7.258074
703.7658,7.085609
704.2479,6.864103
704.73,6.585026
705.2122,6.233326
705.6943,5.683245
706.1764,5.284352
706.6585,5.130227
707.1406,5.08032
707.6227,4.973642
708.1049,4.802244
708.587,4.603719
709.0691,4.364961
709.5512,4.120446
710.0333,3.967813
710.5154,3.892258
710.9976,3.797837
711.4797,3.626037
711.9618,3.452014
712.4439,3.375682
712.926,3.360889
713.4081,3.316385
713.8903,3.254476
714.3724,3.106722
714.8545,2.76441
715.3366,2.279091
715.8187,1.976883
716.3008,1.921485
716.783,1.939444
717.2651,2.009691
717.7472,2.117658
718.2293,2.085611
718.7114,1.892241
719.1935,1.702271
719.6757,1.676
720.1578,1.731622
720.6399,1.699367
721.122,1.578567
721.6041,1.453787
722.0862,1.365764
722.5684,1.309359
723.0505,1.30883
723.5326,1.402122
724.0147,1.369411
724.4968,1.006859
724.9789,0.65555
725.4611,0.555079
725.9432,0.807684
726.4253,0.911769
726.9074,0.836852
727.3895,0.691264
727.8716,0.564558
728.3538,0.463333
728.8359,0.441223
729.318,0.527069
729.8001,0.591369
730.2822,0.491183
730.7643,0.307159
731.2465,0.144183
731.7286,0.001916
732.2107,0.069977
732.6928,0.026250999
