WavwNum_Quartz,value_Quartz
100.0,0.0
113.173,0.0
113.6551,0.537445
114.1373,1.620407
114.6194,6.682663
115.1015,12.95487
115.5836,19.49544
116.0657,26.55046
116.5478,33.84793
117.03,41.32278
117.5121,49.39359
117.9942,57.07373
118.4763,65.62769
118.9584,76.66563
119.4405,90.74765
119.9227,107.5697
120.4048,126.4288
120.8869,146.9299
121.369,171.0792
121.8511,200.376
122.3332,234.22
122.8154,271.4254
123.2975,308.7981
123.7796,350.3903
124.2617,401.9169
124.7438,465.6781
125.2259,534.1323
125.7081,608.4594
126.1902,684.132
126.6723,739.476
127.1544,771.4119
127.6365,779.494
128.1186,754.4647
128.6008,687.6782
129.0829,597.4016
129.565,502.8613
130.0471,404.6067
130.5292,314.1513
131.0113,240.3129
131.4935,181.8835
131.9756,134.8343
132.4577,100.1095
132.9398,75.87634
133.4219,57.34039
133.904,43.80405
134.3862,33.82187
134.8683,27.13428
135.3504,23.72325
135.8325,21.67563
136.3146,20.15274
136.7967,18.67967
137.2789,16.46275
137.761,14.22267
138.2431,12.40218
138.7252,11.82579
139.2073,12.79324
139.6894,13.50652
140.1716,13.06526
140.6537,11.17537
141.1358,10.46048
141.6179,11.29257
142.1,12.90392
142.5821,13.87042
143.0643,14.09967
143.5464,13.93556
144.0285,13.43578
144.5106,12.35623
144.9927,11.61792
145.4748,11.45787
145.957,11.60075
146.4391,11.2496
146.9212,10.18027
147.4033,8.890915
147.8854,7.585312
148.3675,6.245667
148.8497,4.922867
149.3318,3.634323
149.8139,2.377228
150.296,1.139877
150.7781,0.092299998
151.2602,1.056076
151.7424,2.4505
152.2245,4.558548
152.7066,6.385513
153.1887,7.907394
153.6708,9.105408
154.1529,9.914932
154.6351,10.12059
155.1172,10.07375
155.5993,10.01187
156.0814,9.950943
156.5635,9.889923
157.0456,9.978409
157.5278,10.21098
158.0099,9.983124
158.492,9.108948
158.9741,7.754379
159.4562,6.067184
159.9383,3.83934
160.4205,1.504059
160.9026,0.642502
161.3847,2.547958
161.8668,4.979263
162.3489,8.603287
162.831,12.77235
163.3132,16.73361
163.7953,19.58968
164.2774,22.67181
164.7595,26.92282
165.2416,32.63376
165.7237,38.02072
166.2059,41.91612
166.688,45.01358
167.1701,48.36751
167.6522,52.41873
168.1343,56.88713
168.6164,61.55359
169.0985,66.38193
169.5807,71.55449
170.0628,77.32544
170.5449,83.53482
171.027,89.82483
171.5091,96.0755
171.9912,102.3705
172.4734,108.6044
172.9555,114.6231
173.4376,121.1315
173.9197,128.8615
174.4018,137.5983
174.8839,146.7217
175.3661,155.1777
175.8482,163.9534
176.3303,174.3836
176.8124,186.9415
177.2945,200.6483
177.7766,215.2311
178.2588,230.4539
178.7409,244.7187
179.223,255.6798
179.7051,265.344
180.1872,277.3551
180.6693,292.763
181.1515,310.1456
181.6336,328.0198
182.1157,346.2729
182.5978,364.0374
183.0799,380.018
183.562,395.1646
184.0442,411.7155
184.5263,430.3187
185.0084,450.4409
185.4905,471.9041
185.9726,494.5936
186.4547,517.8461
186.9369,540.8866
187.419,564.1038
187.9011,588.0271
188.3832,612.803
188.8653,638.6767
189.3474,666.8102
189.8296,697.5212
190.3117,728.5976
190.7938,758.6374
191.2759,787.6445
191.758,815.1124
192.2401,839.9344
192.7223,863.9724
193.2044,893.7375
193.6865,930.0646
194.1686,967.8596
194.6507,1002.321
195.1328,1033.577
195.615,1064.276
196.0971,1094.717
196.5792,1124.878
197.0613,1154.577
197.5434,1183.567
198.0255,1212.836
198.5077,1243.369
198.9898,1275.439
199.4719,1305.252
199.954,1332.261
200.4361,1356.223
200.9182,1375.89
201.4004,1390.456
201.8825,1402.842
202.3646,1417.06
202.8467,1433.789
203.3288,1445.825
203.8109,1451.287
204.2931,1450.501
204.7752,1445.954
205.2573,1437.589
205.7394,1425.643
206.2215,1409.859
206.7036,1389.995
207.1858,1368.437
207.6679,1345.873
208.15,1322.205
208.6321,1296.133
209.1142,1267.569
209.5963,1236.728
210.0785,1203.162
210.5606,1166.303
211.0427,1129.778
211.5248,1094.453
212.0069,1060.309
212.489,1025.52
212.9712,990.2153
213.4533,953.9653
213.9354,916.3079
214.4175,875.9158
214.8996,837.1449
215.3817,800.632
215.8639,766.7053
216.346,734.1597
216.8281,703.2295
217.3102,673.3098
217.7923,643.8425
218.2744,613.8329
218.7565,586.163
219.2387,562.5319
219.7208,542.8229
220.2029,521.8312
220.685,498.7133
221.1671,475.528
221.6492,455.0808
222.1314,438.1787
222.6135,421.7289
223.0956,405.447
223.5777,389.1167
224.0598,372.8951
224.5419,356.2231
225.0241,340.113
225.5062,325.421
225.9883,312.6886
226.4704,300.4445
226.9525,288.5547
227.4346,276.8313
227.9168,266.157
228.3989,256.9203
228.881,248.2952
229.3631,239.626
229.8452,230.7691
230.3273,221.9774
230.8095,213.11
231.2916,204.0965
231.7737,196.1167
232.2558,189.7195
232.7379,183.9031
233.22,177.5734
233.7022,170.0573
234.1843,163.1518
234.6664,157.5495
235.1485,153.3916
235.6306,148.7055
236.1127,142.8268
236.5949,136.867
237.077,131.9431
237.5591,128.5473
238.0412,125.3381
238.5233,122.0018
239.0054,118.4817
239.4876,115.3981
239.9697,113.0219
240.4518,110.9993
240.9339,108.8597
241.416,106.136
241.8981,104.0272
242.3803,102.706
242.8624,102.1607
243.3445,102.4691
243.8266,104.304
244.3087,106.3469
244.7908,107.4119
245.273,106.8731
245.7551,106.5979
246.2372,107.1791
246.7193,108.4675
247.2014,108.2649
247.6835,105.424
248.1657,102.4324
248.6478,101.3384
249.1299,103.1206
249.612,104.6661
250.0941,105.5481
250.5762,105.851
251.0584,106.268
251.5405,106.9497
252.0226,107.5455
252.5047,107.7189
252.9868,107.029
253.4689,106.9835
253.9511,107.79
254.4332,109.3703
254.9153,111.2781
255.3974,113.5513
255.8795,116.112
256.3616,118.7656
256.8438,121.1239
257.3259,124.6365
257.808,129.5872
258.2901,135.741
258.7722,142.2299
259.2543,148.5871
259.7365,156.1181
260.2186,165.8718
260.7007,178.35
261.1828,191.4176
261.6649,205.3772
262.147,219.6027
262.6292,233.3134
263.1113,248.1043
263.5934,258.9296
264.0755,263.7104
264.5576,262.9037
265.0397,254.0814
265.5219,235.1646
266.004,209.4035
266.4861,182.711
266.9682,154.1145
267.4503,127.653
267.9324,105.7497
268.4146,88.51443
268.8967,73.74637
269.3788,61.6676
269.8609,51.92077
270.343,44.38751
270.8251,39.49942
271.3073,35.2483
271.7894,30.82543
272.2715,26.10519
272.7536,22.68021
273.2357,20.80821
273.7178,19.78316
274.2,18.4331
274.6821,16.61892
275.1642,15.19352
275.6463,14.75292
276.1284,15.3018
276.6105,14.62663
277.0927,12.41834
277.5748,9.655235
278.0569,7.49115
278.539,5.958572
279.0211,4.829102
279.5032,4.134094
279.9854,3.837784
280.4675,3.501205
280.9496,3.084045
281.4317,2.76403
281.9138,2.84404
282.3959,3.347336
282.8781,3.643852
283.3602,3.585327
283.8423,3.190636
284.3244,2.384827
284.8065,1.064262
285.2886,0.060821999
285.7708,0.040183999
286.2529,1.039017
286.735,1.463669
287.2171,0.637321
287.6992,0.911392
288.1813,1.613327
288.6635,1.434517
289.1456,1.174095
289.6277,1.689644
290.1098,2.802048
290.5919,3.160789
291.074,2.289345
291.5562,0.973389
292.0383,0.899574
292.5204,2.013031
293.0025,3.109505
293.4846,3.276573
293.9667,2.773232
294.4489,2.564621
294.931,2.85994
295.4131,3.220253
295.8952,2.742035
296.3773,1.594734
296.8594,0.862808
297.3416,1.599632
297.8237,3.149712
298.3058,3.986374
298.7879,3.959732
299.27,3.483978
299.7521,2.772011
300.2343,1.947128
300.7164,1.429588
301.1985,1.638741
301.6806,2.207855
302.1627,2.574226
302.6448,2.721016
303.127,2.747543
303.6091,2.77356
304.0912,2.749763
304.5733,2.585213
305.0554,2.11853
305.5375,1.557991
306.0197,1.132652
306.5018,0.838615
306.9839,0.592583
307.466,0.359856
307.9481,0.131004
308.4302,0.112282
308.9124,0.444611
309.3945,0.72596
309.8766,0.783432
310.3587,0.659271
310.8408,0.581291
311.3229,0.755516
311.8051,1.013237
312.2872,1.181122
312.7693,1.185104
313.2514,1.149567
313.7335,1.115723
314.2156,1.094383
314.6978,1.114159
315.1799,1.221008
315.662,1.352715
316.1441,1.497963
316.6262,1.721916
317.1083,1.774483
317.5905,1.244659
318.0726,0.504089
318.5547,0.19371
319.0368,0.987434
319.5189,1.915932
320.001,2.561623
320.4832,2.903152
320.9653,2.912781
321.4474,2.002296
321.9295,0.950089
322.4116,0.661774
322.8937,2.636024
323.3759,4.146141
323.858,4.102905
324.3401,2.381844
324.8222,1.096031
325.3043,0.945892
325.7864,1.132988
326.2686,1.04171
326.7507,0.251862
327.2328,0.870735
327.7149,0.067795001
328.197,1.959122
328.6791,3.088455
329.1613,2.279953
329.6434,1.361069
330.1255,1.262291
330.6076,2.805344
331.0897,3.970718
331.5718,4.447342
332.054,4.531715
332.5361,5.065254
333.0182,6.11692
333.5003,7.535652
333.9824,9.264008
334.4645,11.34562
334.9467,13.62462
335.4288,16.00177
335.9109,18.63515
336.393,21.84386
336.8751,26.04949
337.3572,29.91026
337.8394,33.05685
338.3215,35.44604
338.8036,37.43176
339.2857,38.8084
339.7678,40.14889
340.2499,42.08075
340.732,44.5909
341.2141,47.59891
341.6963,51.25199
342.1784,55.34806
342.6605,58.73145
343.1426,61.20253
343.6247,63.75662
344.1068,67.17796
344.589,71.38948
345.0711,75.96435
345.5532,80.89349
346.0353,85.95297
346.5174,89.77071
346.9995,92.43101
347.4817,97.03241
347.9638,105.7228
348.4459,117.9517
348.928,131.6312
349.4101,146.4993
349.8922,163.0339
350.3744,181.3476
350.8565,201.4908
351.3386,224.3279
351.8207,251.263
352.3028,280.6766
352.7849,312.1364
353.2671,345.92
353.7492,375.7348
354.2313,401.796
354.7134,419.4816
355.1955,420.4807
355.6776,397.2365
356.1598,360.5016
356.6419,314.5125
357.124,261.3648
357.6061,211.9878
358.0882,171.715
358.5703,138.7922
359.0525,112.5187
359.5346,94.08251
360.0167,79.55147
360.4988,67.68869
360.9809,58.08994
361.463,50.08824
361.9452,44.11018
362.4273,39.18926
362.9094,34.81008
363.3915,30.88571
363.8736,27.63358
364.3557,25.53808
364.8379,24.0275
365.32,22.44788
365.8021,20.50639
366.2842,18.61795
366.7663,16.84152
367.2484,15.16659
367.7306,13.82806
368.2127,13.26294
368.6948,12.78281
369.1769,11.9368
369.659,9.737694
370.1411,8.389038
370.6233,8.577873
371.1054,9.777351
371.5875,9.940994
372.0696,8.221191
372.5517,6.49501
373.0338,5.59523
373.516,5.935417
373.9981,5.875931
374.4802,5.127625
374.9623,4.211327
375.4444,4.093277
375.9265,5.202461
376.4087,5.845009
376.8908,5.376686
377.3729,3.846077
377.855,3.032372
378.3371,3.068001
378.8192,3.437981
379.3014,3.636261
379.7835,3.637589
380.2656,3.681274
380.7477,3.908577
381.2298,4.234901
381.7119,4.447586
382.1941,4.498352
382.6762,4.800117
383.1583,5.8619
383.6404,7.510185
384.1225,8.939888
384.6046,9.990852
385.0868,10.82369
385.5689,11.51492
386.051,12.22529
386.5331,13.29331
387.0152,14.94572
387.4973,16.97351
387.9795,19.15668
388.4616,21.55604
388.9437,24.16984
389.4258,26.62981
389.9079,29.39658
390.39,33.15779
390.8722,38.71339
391.3543,44.62979
391.8364,50.65079
392.3185,56.31883
392.8006,60.15881
393.2827,61.66002
393.7649,60.93176
394.247,57.61458
394.7291,50.72169
395.2112,43.87337
395.6933,37.53308
396.1754,32.19371
396.6576,28.59449
397.1397,27.49033
397.6218,27.60299
398.1039,28.63996
398.586,30.60316
399.0681,33.23454
399.5503,37.02481
400.0324,41.18523
400.5145,45.13387
400.9966,49.75784
401.4787,53.00953
401.9608,55.10748
402.443,55.77675
402.9251,53.83354
403.4072,48.54568
403.8893,41.71941
404.3714,33.73703
404.8535,23.77134
405.3357,15.97578
405.8178,10.81747
406.2999,7.308479
406.782,4.110497
407.2641,1.151421
407.7462,1.042122
408.2284,2.049416
408.7105,2.151413
409.1926,2.978477
409.6747,4.641617
410.1568,6.211075
410.6389,6.85099
411.1211,6.672195
411.6032,6.284889
412.0853,5.71817
412.5674,5.119919
413.0495,4.615517
413.5316,4.222649
414.0138,4.054207
414.4959,4.596664
414.978,5.242996
415.4601,4.832253
415.9422,3.226875
416.4243,1.73999
416.9065,1.764717
417.3886,2.519836
417.8707,2.849426
418.3528,2.108406
418.8349,1.047432
419.317,0.001213
419.7992,1.024696
420.2813,1.898003
420.7634,2.487358
421.2455,2.987953
421.7276,3.519699
422.2097,4.102676
422.6919,4.731117
423.174,5.412514
423.6561,6.138939
424.1382,6.921944
424.6203,7.547203
425.1024,8.420044
425.5846,9.759712
426.0667,11.59444
426.5488,13.24352
427.0309,14.59918
427.513,15.88515
427.9951,17.26021
428.4773,18.76527
428.9594,20.21758
429.4415,21.3429
429.9236,22.51991
430.4057,24.91798
430.8878,28.89748
431.37,32.95177
431.8521,36.42488
432.3342,39.31856
432.8163,42.1147
433.2984,44.70802
433.7805,47.57562
434.2627,51.285
434.7448,55.7952
435.2269,60.66437
435.709,65.80454
436.1911,71.30791
436.6732,77.1121
437.1554,83.29178
437.6375,90.33115
438.1196,98.35987
438.6017,107.5085
439.0838,117.9278
439.5659,129.6461
440.048,142.8058
440.5302,157.8294
441.0123,174.451
441.4944,192.2269
441.9765,209.1824
442.4586,228.7239
442.9407,252.9561
443.4229,281.592
443.905,313.8261
444.3871,348.3943
444.8692,386.6609
445.3513,429.6066
445.8334,478.6553
446.3156,530.3026
446.7977,585.166
447.2798,641.7416
447.7619,697.1769
448.244,748.9924
448.7261,801.6774
449.2083,855.1085
449.6904,909.3809
450.1725,967.3051
450.6546,1029.234
451.1367,1093.508
451.6188,1157.747
452.101,1220.195
452.5831,1290.075
453.0652,1369.397
453.5473,1456.621
454.0294,1549.258
454.5115,1647.201
454.9937,1754.671
455.4758,1874.583
455.9579,2006.392
456.44,2147.736
456.9221,2299.354
457.4042,2464.48
457.8864,2649.743
458.3685,2851.991
458.8506,3069.151
459.3327,3302.072
459.8148,3544.158
460.2969,3793.39
460.7791,4047.816
461.2612,4293.105
461.7433,4544.408
462.2254,4769.723
462.7075,4945.798
463.1896,5074.141
463.6718,5130.755
464.1539,5103.185
464.636,4998.113
465.1181,4821.667
465.6002,4539.861
466.0823,4225.95
466.5645,3881.477
467.0466,3516.319
467.5287,3167.841
468.0108,2829.061
468.4929,2518.239
468.975,2241.971
469.4572,2002.958
469.9393,1791.26
470.4214,1611.601
470.9035,1456.758
471.3856,1320.452
471.8677,1204.653
472.3499,1100.563
472.832,1005.132
473.3141,919.3177
473.7962,845.9838
474.2783,785.9106
474.7604,732.5449
475.2426,682.6652
475.7247,636.1856
476.2068,594.2813
476.6889,556.9705
477.171,522.9045
477.6531,490.3466
478.1353,459.7855
478.6174,432.7076
479.0995,410.4918
479.5816,390.8466
480.0637,371.6802
480.5458,353.0886
481.028,335.7723
481.5101,320.8086
481.9922,306.7691
482.4743,292.5535
482.9564,277.7675
483.4385,263.7773
483.9207,251.344
484.4028,240.0279
484.8849,229.388
485.367,218.9091
485.8491,209.7358
486.3312,202.9059
486.8134,197.8701
487.2955,191.6608
487.7776,183.4135
488.2597,175.224
488.7418,167.8066
489.2239,161.1933
489.7061,155.6171
490.1882,151.3771
490.6703,147.7236
491.1524,143.6949
491.6345,139.1519
492.1166,135.0972
492.5988,131.7684
493.0809,128.8879
493.563,125.8691
494.0451,122.6948
494.5272,119.4815
495.0093,115.8354
495.4915,112.1721
495.9736,109.5602
496.4557,108.0907
496.9378,107.1576
497.4199,106.7976
497.902,106.5122
498.3842,105.4299
498.8663,102.3968
499.3484,99.82659
499.8305,99.55357
500.3126,100.8852
500.7947,102.1329
501.2769,101.6996
501.759,101.914
502.2411,103.9563
502.7232,108.1266
503.2053,112.9222
503.6874,117.7416
504.1696,123.16
504.6517,129.6655
505.1338,138.273
505.6159,146.511
506.098,154.4155
506.5801,161.5683
507.0623,167.5357
507.5444,173.0399
508.0265,175.597
508.5086,174.8925
508.9907,170.688
509.4728,159.5498
509.955,140.7972
510.4371,120.1819
510.9192,101.7676
511.4013,85.7405
511.8834,73.20332
512.3655,64.54829
512.8477,58.15554
513.3298,52.64932
513.8119,47.95338
514.294,43.87421
514.7761,40.03932
515.2582,36.96243
515.7404,35.52277
516.2225,35.45178
516.7046,34.83289
517.1867,32.09515
517.6688,29.0527
518.1509,26.87009
518.6331,25.93536
519.1152,25.23586
519.5973,25.19513
520.0794,25.08475
520.5615,23.94873
521.0436,20.55315
521.5258,18.0647
522.0079,17.23628
522.49,17.77615
522.9721,18.10703
523.4542,18.21146
523.9363,17.91658
524.4185,16.95126
524.9006,15.33723
525.3827,14.32204
525.8648,13.99915
526.3469,13.78194
526.829,12.95454
527.3112,11.67523
527.7933,10.48651
528.2754,9.40567
528.7575,8.660347
529.2396,8.795044
529.7217,9.520401
530.2039,9.987808
530.686,9.627388
531.1681,8.948608
531.6502,8.13253
532.1323,7.201424
532.6144,6.667778
533.0966,7.055222
533.5787,7.694427
534.0608,8.130753
534.5429,8.359703
535.025,8.266197
535.5071,7.545837
535.9893,6.61116
536.4714,6.099045
536.9535,6.2715
537.4356,6.356026
537.9177,6.134033
538.3998,5.677818
538.882,5.508804
539.3641,5.706581
539.8462,5.851021
540.3283,5.646629
540.8104,5.143257
541.2925,4.572609
541.7747,3.898186
542.2568,3.492615
542.7389,4.097534
543.221,5.270309
543.7031,5.965347
544.1852,5.817741
544.6674,5.205261
545.1495,4.14772
545.6316,2.878754
546.1137,1.981964
546.5958,1.950264
547.0779,2.168442
547.5601,2.399803
548.0422,2.634071
548.5243,2.666718
549.0064,2.351456
549.4885,1.897499
549.9706,1.431152
550.4528,1.016403
550.9349,0.449341
551.417,0.482491
551.8991,1.402527
552.3812,1.718033
552.8633,1.305229
553.3455,0.855988
553.8276,0.522003
554.3097,0.257797
554.7918,0.184662
555.2739,0.802971
555.756,1.027519
556.2382,0.176521
556.7203,1.245049
557.2024,2.105354
557.6845,2.340622
558.1666,2.418488
558.6487,2.579689
559.1309,2.861694
559.613,3.387589
560.0951,4.540009
560.5772,5.238785
561.0593,4.436752
561.5414,2.900414
562.0236,2.003693
562.5057,3.025978
562.9878,3.739311
563.4699,3.195793
563.952,1.572403
564.4341,0.800812
564.9163,1.271294
565.3984,2.041557
565.8805,2.821442
566.3626,3.754311
566.8447,3.650169
567.3268,2.238556
567.809,0.572151
568.2911,0.0053790002
568.7732,0.351463
569.2553,0.268898
569.7374,0.743736
570.2195,1.88195
570.7017,1.896347
571.1838,1.071449
571.6659,0.315475
572.148,0.068320997
572.6301,0.073867999
573.1122,0.212257
573.5944,0.452469
574.0765,0.585175
574.5586,0.325035
575.0407,0.066315003
575.5228,0.048119001
576.0049,0.359077
576.4871,0.770424
576.9692,1.424026
577.4513,2.069839
577.9334,2.509796
578.4155,2.835823
578.8976,2.641769
579.3798,1.602974
579.8619,0.244537
580.344,0.095833004
580.8261,0.624214
581.3082,1.651871
581.7903,2.930336
582.2725,4.232468
582.7546,4.775352
583.2367,4.608856
583.7188,4.294937
584.2009,3.846024
584.683,3.687622
585.1652,4.75502
585.6473,7.454185
586.1294,9.408569
586.6115,8.479675
587.0936,6.423042
587.5757,5.096977
588.0578,5.603546
588.5399,6.132156
589.022,6.359238
589.5042,6.388199
589.9863,6.450638
590.4684,6.449745
590.9505,6.658012
591.4326,7.239586
591.9147,8.124596
592.3969,8.673508
592.879,8.810196
593.3611,8.915581
593.8432,9.431213
594.3253,10.19705
594.8074,10.25116
595.2896,9.510345
595.7717,8.491699
596.2538,7.30764
596.7359,6.291138
597.218,6.143875
597.7001,7.414467
598.1823,8.797287
598.6644,9.723228
599.1465,10.12376
599.6286,9.876465
600.1107,8.043159
600.5928,6.469704
601.075,5.779976
601.5571,5.9244
602.0392,6.214371
602.5213,6.927666
603.0034,7.405869
603.4855,7.246643
603.9677,6.350815
604.4498,6.079384
604.9319,6.612282
605.414,7.212379
605.8961,7.065956
606.3782,6.323776
606.8604,6.058495
607.3425,6.480682
607.8246,6.905479
608.3067,6.461517
608.7888,5.49102
609.2709,4.695633
609.7531,4.134483
610.2352,4.038521
610.7173,4.933342
611.1994,6.475143
611.6815,7.719711
612.1636,8.462219
612.6458,8.667076
613.1279,8.040901
613.61,6.556679
614.0921,5.876305
614.5742,6.49025
615.0563,7.126671
615.5385,7.004776
616.0206,5.901268
616.5027,5.582222
616.9848,6.262947
617.4669,6.96524
617.949,6.318642
618.4312,4.631172
618.9133,3.478233
619.3954,3.270012
619.8775,3.482819
620.3596,3.457069
620.8417,3.308067
621.3239,3.327751
621.806,3.920288
622.2881,4.491096
622.7702,4.625069
623.2523,4.373093
623.7344,4.027412
624.2166,3.277718
624.6987,2.860832
625.1808,3.343262
625.6629,4.840591
626.145,5.550224
626.6271,5.077682
627.1093,4.346489
627.5914,4.038773
628.0735,4.155899
628.5556,4.122467
629.0377,3.873123
629.5198,3.550972
630.002,3.384346
630.4841,3.332573
630.9662,3.2043
631.4483,2.88047
631.9304,2.623657
632.4125,2.854836
632.8947,3.312317
633.3768,3.488258
633.8589,2.900558
634.341,2.299576
634.8231,1.948433
635.3052,1.836723
635.7874,1.89637
636.2695,2.369858
636.7516,2.70723
637.2337,2.537209
637.7158,1.761665
638.1979,2.005661
638.6801,3.780296
639.1622,5.356392
639.6443,4.886086
640.1264,2.685707
640.6085,1.779091
641.0906,2.52066
641.5728,3.842926
642.0549,5.026131
642.537,5.909958
643.0191,6.157768
643.5012,5.392609
643.9833,4.540939
644.4655,4.147041
644.9476,4.073647
645.4297,4.067993
645.9118,4.225403
646.3939,4.269714
646.876,4.14637
647.3582,3.859421
647.8403,3.366173
648.3224,2.449394
648.8045,1.742104
649.2866,1.465256
649.7687,1.598328
650.2509,2.158691
650.733,3.221237
651.2151,3.959358
651.6972,3.376114
652.1793,2.062881
652.6614,1.506203
653.1436,1.836235
653.6257,2.369904
654.1078,2.70472
654.5899,2.893303
655.072,3.01857
655.5541,3.208572
656.0363,3.09787
656.5184,2.204124
657.0005,1.089455
657.4826,0.496574
657.9647,0.767563
658.4468,1.038521
658.929,1.267197
659.4111,1.402794
659.8932,1.216484
660.3753,0.651199
660.8574,0.337112
661.3395,0.620796
661.8217,1.265533
662.3038,1.847588
662.7859,2.322701
663.268,2.347801
663.7501,1.104164
664.2322,0.304642
664.7144,0.736145
665.1965,0.151833
665.6786,0.613647
666.1607,1.599251
666.6428,2.343063
667.1249,2.522888
667.6071,1.904526
668.0892,1.241058
668.5713,0.319046
669.0534,0.380417
669.5355,0.353874
670.0176,0.57515
670.4998,1.382973
670.9819,1.975883
671.464,2.45118
671.9461,3.110107
672.4282,3.791519
672.9103,3.723045
673.3925,2.158073
673.8746,0.583939
674.3567,0.758209
674.8388,2.082085
675.3209,3.252617
675.803,3.701843
676.2852,3.900299
676.7673,3.912704
677.2494,3.824776
677.7315,3.903694
678.2136,4.232681
678.6957,4.663895
679.1779,5.221115
679.66,5.928604
680.1421,6.179146
680.6242,5.905037
681.1063,5.823204
681.5884,6.592346
682.0706,7.953316
682.5527,9.100868
683.0348,10.01671
683.5169,10.73956
683.999,11.17264
684.4811,11.50548
684.9633,12.00405
685.4454,12.83373
685.9275,13.45291
686.4096,13.30148
686.8917,13.01263
687.3738,13.32386
687.856,14.89159
688.3381,15.8972
688.8202,15.93417
689.3023,15.65933
689.7844,16.20366
690.2665,17.62474
690.7487,19.23418
691.2308,20.94251
691.7129,22.59288
692.195,23.97376
692.6771,25.17869
693.1592,26.23291
693.6414,27.52605
694.1235,28.59339
694.6056,28.94691
695.0877,28.72132
695.5698,28.45813
696.0519,28.99406
696.5341,28.94167
697.0162,27.41347
697.4983,24.45589
697.9804,22.23251
698.4625,20.93389
698.9446,19.95647
699.4268,19.11151
699.9089,18.36102
700.391,17.08382
700.8731,15.24335
701.3552,13.33999
